"AU","Season","SiteType","ORW","ASSESSMENT","method"
"AR_08020301_010","PRIMARY","River/Stream","N","ATTAIN","IS"
"AR_11010004_015","PRIMARY","River/Stream","N","FAIL","IS"
"AR_11010005_005","SECONDARY","River/Stream","Y","ATTAIN","IS"
"AR_11010005_012","PRIMARY","River/Stream","Y","ATTAIN","IS"
"AR_11010005_012","SECONDARY","River/Stream","Y","ATTAIN","IS"
"AR_11010005_912","PRIMARY","River/Stream","N","ATTAIN","IS"
"AR_11010005_912","SECONDARY","River/Stream","N","ATTAIN","IS"
"AR_11010009_902","PRIMARY","River/Stream","N","ATTAIN","IS"
"AR_11010012_003","PRIMARY","River/Stream","N","FAIL","IS"
"AR_11010012_010","PRIMARY","River/Stream","Y","ATTAIN","IS"
"AR_11010012_011","PRIMARY","River/Stream","Y","ATTAIN","IS"
"AR_11010012_014","PRIMARY","River/Stream","N","ATTAIN","IS"
"AR_11010012_015","PRIMARY","River/Stream","N","FAIL","IS"
"AR_11010012_016","PRIMARY","River/Stream","N","ATTAIN","IS"
"AR_11010014_006","PRIMARY","River/Stream","N","ATTAIN","IS"
"AR_11010014_007","PRIMARY","River/Stream","N","ATTAIN","IS"
"AR_11010014_009","PRIMARY","River/Stream","N","FAIL","IS"
"AR_11010014_028","PRIMARY","River/Stream","Y","ATTAIN","IS"
"AR_11010014_038","PRIMARY","River/Stream","Y","FAIL","IS"
"AR_11010014_938","PRIMARY","River/Stream","Y","ATTAIN","IS"
"AR_11010005_012","PRIMARY","River/Stream","Y","ATTAIN","GM"
